monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501924,183682924
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501924,183682925
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501924,183682926
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17501924,183682927
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17501924,183682928
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501924,183682929
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501924,183682930
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17501924,183682931
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17501924,183682932
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501924,183682933
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501924,183682934
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17501924,183682935
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682936
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682937
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682938
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682939
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682940
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682941
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682942
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682943
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682944
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682945
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682946
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501925,183682947
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,183682948
1,January,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17501926,183682949
3,March,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17501926,183682950
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,183682951
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,183682952
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,183682953
5,May,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17501926,183682954
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,183682955
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,183682956
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501926,183682957
4,April,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17501926,183682958
2,February,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17501926,183682959
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501927,183682960
