cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17489279,33265,AGR - Grape non-irrigated (MO),0,33265,AGR - Grape non-irrigated (MO),0,0.225,Unsuited,0.225,Unsuited,0.225,Unsuited,0.225,Unsuited,0,0,0,1557242912
17489279,33265,AGR - Grape non-irrigated (MO),1,33252,hort grape pH,1,0.225,unsuited - pH,0.225,unsuited - pH,0.225,unsuited - pH,0.225,unsuited - pH,0,0,0,1557242913
17489279,33265,AGR - Grape non-irrigated (MO),2,33257,hort grape om in surface,1,0.45,poorly suited - OM,0.45,poorly suited - OM,0.45,poorly suited - OM,0.45,poorly suited - OM,0,0,0,1557242914
17489279,33265,AGR - Grape non-irrigated (MO),3,33255,hort grape wet layer,1,0.51,moderately suited - Wet Layer,0.51,moderately suited - Wet Layer,0.51,moderately suited - Wet Layer,0.51,moderately suited - Wet Layer,0,0,0,1557242915
17489279,33265,AGR - Grape non-irrigated (MO),4,33256,hort grape awc,1,0.632,moderately suited - AWC,0.632,moderately suited - AWC,0.632,moderately suited - AWC,0.632,moderately suited - AWC,0,0,0,1557242916
17489279,33265,AGR - Grape non-irrigated (MO),5,33253,hort grape texture,1,0.756,well suited - Texture,0.756,well suited - Texture,0.756,well suited - Texture,0.756,well suited - Texture,0,0,0,1557242917
17489279,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),0,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),0,0.158,Suited (with limitations to overcome),0.158,Suited (with limitations to overcome),0.158,Suited (with limitations to overcome),0.301,Moderately Suited,0,0,0,1557242918
17489279,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),1,26054,"AWM-Depth to HWT (12-36"") 31-91cm (Perched)",1,0.158,"~high water table, perched (winter-early spring)",0.158,"~high water table, perched (winter-early spring)",0.158,"~high water table, perched (winter-early spring)",0.158,"~high water table, perched (winter-early spring)",0,0,0,1557242919
17489279,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),2,26058,AWM-Permeability 60cm-180cm (ksat 4-141),1,0.007,~seepage (possible),0.155,~seepage (possible),0.155,~seepage (possible),0.301,~seepage (possible),0,0,0,1557242920
17489279,22382,FOR - Black Walnut Suitability Index (MO),0,22382,FOR - Black Walnut Suitability Index (MO),0,0.431,Somewhat suited,0.431,Somewhat suited,0.431,Somewhat suited,0.431,Somewhat suited,0,0,0,1557242921
17489279,22382,FOR - Black Walnut Suitability Index (MO),1,22309,BW: flood frequency,1,0,Flood Freq: None/Rare,0,Flood Freq: None/Rare,0,Flood Freq: None/Rare,0,Flood Freq: None/Rare,0,0,0,1557242922
17489279,22382,FOR - Black Walnut Suitability Index (MO),2,22311,BW: historic veg,1,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,0,0,1557242923
17489279,22382,FOR - Black Walnut Suitability Index (MO),3,20846,BW: pH,1,0.115,pH limiting factor,0.115,pH limiting factor,0.115,pH limiting factor,0.115,pH limiting factor,0,0,0,1557242924
17489279,22382,FOR - Black Walnut Suitability Index (MO),4,22312,BW: landform,1,0.25,Landform: Shoulder/Summit,0.25,Landform: Shoulder/Summit,0.25,Landform: Shoulder/Summit,0.25,Landform: Shoulder/Summit,0,0,0,1557242925
17489279,22382,FOR - Black Walnut Suitability Index (MO),5,22306,BW: depth,1,0.442,"Depth:35-48""",0.442,"Depth:35-48""",0.442,"Depth:35-48""",0.442,"Depth:35-48""",0,0,0,1557242926
