Crop ,Site,Year,Rotation,0,40,80,120,160,200,240,Max N applied,a,b,c,Max N rate ,Max Yield,EONR,YEONR,60,180
corn,Lewis,2001,SC,105.6,120.8,117.6,120.9,124.8,128.9,123.3,240,108.5,0.1729,-0.00044,198.4,125.6,82.8,119.8,,
corn,Lewis,2002,SC,52.5,49.5,73.2,67.3,68.5,70.4,71.1,240,49.29,0.26563,-0.0008452,157.1,70.2,98,67.2,,
corn,Lewis,2003,SC,121.1,132.8,144.2,142.1,144.5,142.7,145.3,240,120.6,0.42632,-0.0019518,109.2,143.9,83.6,142.6,,
corn,Lewis,2004,SC,187.78,235.06,244.27,248.54,250.06,243.91,245.02,240,187.78,1.64258,-0.011514,71.3,246.4,67,246.1,,
corn,Lewis,2005,SC,148,165.71,189.9,188.72,189.24,195.84,190.64,240,146.55,0.69923,-0.002715,128.8,191.6,110.4,190.6,,
corn,Lewis,2006,SC,144.57,198.88,221.75,230.04,243.8,230.31,243.27,240,146.33,1.42246,-0.0055811,127.4,237,118.5,236.5,,
corn,Lewis,2007,SC,105.32,134.66,157.94,174.56,189.95,177.73,184.15,240,104.21,0.88931,-0.0024918,178.5,183.6,158.4,182.6,,
corn,Lewis,2008,SC,120.92,170.17,202.15,219.11,232.74,222.6,231.58,240,121.9,1.32741,-0.0041301,160.7,228.6,148.6,227.9,,
corn,Lewis,2009,SC,162.63,186.62,232.07,243.83,260,273.34,270.61,240,166.6,0.6299,,167.2,271.9,167.2,271.9,,
corn,Lewis,2010,SC,115.63,147.41,178.86,191.77,204.23,209.83,219.97,240,117.17,0.8438,-0.0017947,235.1,216.4,207.2,215,,
corn,Lewis,2011,SC,134.51,150.09,167.97,164.26,159.3,171.96,162.42,240,133.53,0.61438,-0.0029944,102.6,165,85.9,164.2,,
corn,Lewis,2012,SC,103.58,122.78,138.02,130.96,141.52,137.9,142.03,240,103.07,0.65575,-0.003049,107.5,138.3,91.1,137.5,,
corn,Lewis,2013,SC,114.01,142.48,136.65,149.06,150.69,159.38,149.68,240,118.3,0.39147,-0.001095,178.8,153.3,133.1,151,,
corn,Lewis,2014,SC,125.45,154.34,168.51,177.39,179.65,184.4,184.63,240,126.72,0.71214,-0.0022732,156.6,182.5,134.6,181.4,,
corn,Lewis,2015,SC,99.52,125.02,133.24,157.6,173.58,180.23,187.48,240,99.63,0.57711,-0.0008621,240,188.5,240,188.5,,
corn,Lewis,2016,SC,92.26,146.78,161.13,172.53,214.29,215.5,222.61,240,103.4,0.6745,,171.4,219,171.4,219,,
corn,Lewis,2002,CC,20.5,36.3,50.3,43.4,59.1,55.3,51.7,240,21.8,0.38417,-0.0011369,169,54.3,125,52.1,,
corn,Lewis,2003,CC,36.5,75.1,95.8,97.9,110.3,114.2,98.8,240,37.56,1.04081,-0.0039695,131.1,105.8,118.5,105.2,,
corn,Lewis,2004,CC,124.56,188.45,223.86,233.43,237.2,247.11,248.46,240,126.03,1.74429,-0.0065428,133.3,242.3,125.7,241.9,,
corn,Lewis,2005,CC,50.8,102.1,147.09,175.92,179.81,184.68,177.71,240,48.88,1.62614,-0.0049899,162.9,181.4,152.9,180.9,,
corn,Lewis,2006,CC,70.13,145.26,202.75,221.57,231.01,237.09,229.57,240,70.12,2.21383,-0.0075788,146.1,231.8,139.5,231.5,,
corn,Lewis,2007,CC,57.54,103.98,146.25,159.29,165.3,178.8,176.75,240,58.35,1.3194,-0.0037537,175.8,174.3,162.4,173.6,,
corn,Lewis,2008,CC,74.31,137.83,156.8,194.59,211.52,211.61,207.15,240,77.3,1.42148,-0.0037948,187.3,210.4,174.1,209.8,,
corn,Lewis,2009,CC,79.37,132.79,188.28,217.56,246.04,254.2,244.35,240,76.81,1.69009,-0.0041195,205.1,250.2,193,249.6,,
corn,Lewis,2010,CC,57.02,86.46,117.08,141.65,170.23,190.38,205.21,240,55.7,0.8396,-0.0008734,240,206.9,240,206.9,,
corn,Lewis,2011,CC,45.8,79.51,101.2,131.84,143.35,142.09,146.46,240,44.35,0.97504,-0.0023465,207.8,145.6,186.5,144.6,,
corn,Lewis,2012,CC,13.9,38.5,59.56,73.96,66.26,77.43,82.9,240,13.59,0.74082,-0.0021814,169.8,76.5,146.9,75.3,,
corn,Lewis,2013,CC,68.07,103.81,129.05,140.12,169.05,182.04,186.15,240,74.37,0.5957,,184.2,184.1,184.2,184.1,,
corn,Lewis,2014,CC,50.98,103.54,123.04,150.53,166.4,171.1,160.59,240,53.57,1.19253,-0.0031532,189.1,166.3,173.2,165.5,,
corn,Lewis,2015,CC,47.34,86.49,102.65,135.31,162.33,175.05,159.05,240,44.64,1.05394,-0.0022637,233,167.3,210.7,166.2,,
corn,Lewis,2016,CC,46.03,101.86,121.34,136.4,167.42,199.17,205.76,240,58.89,0.6982,,210.4,205.8,210.4,205.8,,
corn,McNay,1999,SC,80.2,97.6,129.1,145.6,161.7,164.8,159.5,240,75.8,0.8063,-0.00186,217.2,163.4,189.9,161.8,,
corn,McNay,2000,SC,137.5,148.6,153.5,153.8,160.8,152.7,156.4,240,137.7,0.3124,-0.00134,116.4,155.9,79.3,154,,
corn,McNay,2001,SC,64.5,81.2,119.6,134.7,136.3,142.6,151.1,240,61.5,0.7946,-0.00185,214.9,146.9,187.7,145.5,,
corn,McNay,2002,SC,142.1,185.9,195,205.1,205.7,196.3,202.7,240,142.6,1.35147,-0.0077799,86.9,201.3,80.4,201,,
corn,McNay,2003,SC,68.8,92.6,114.3,122.6,111.6,120,112.4,240,67.57,0.83211,-0.0035103,118.5,116.9,104.3,116.2,,
corn,McNay,2004,SC,114.5,150.22,193.27,215.85,225.72,248.63,260.48,240,115.14,1.03406,-0.0018264,240,260.5,240,258.1,,
corn,McNay,2005,SC,113.83,152.84,189.25,198.28,198.35,194.3,213.82,240,112.72,1.2703,-0.0045172,140.6,202,129.5,201.5,,
corn,McNay,2006,SC,101.36,124.21,136.99,132.66,137.76,143.5,145.19,240,101.35,0.69999,-0.0031865,109.8,139.8,94.1,139,,
corn,McNay,2007,SC,126.54,133.1,169.83,194.9,189.54,206.23,205.7,240,120.2,0.71106,-0.0014618,240,206.7,209,205,,
corn,McNay,2008,SC,45.39,67.89,98.29,140.04,161.9,187.48,189.69,240,41.67,0.7629,,192.6,188.6,192.6,188.6,,
corn,McNay,2009,SC,22,31.39,45.51,70.6,91.99,133.85,109.25,240,17.1,0.45819,,240,127.1,240,127.1,,
corn,McNay,2010,SC,29.34,53.87,85.09,123.59,142.8,151.51,160.72,240,19.24,1.0541,-0.0019178,240,161.8,240,161.8,,
corn,McNay,2011,SC,68.1,99.22,121.57,151.4,170.21,181.84,194.64,240,67.46,0.82849,-0.0012442,240,194.6,240,194.6,,
corn,McNay,2012,SC,77.73,74.87,70.9,73.43,81.11,72.05,73.43,240,77.73,,,0,77.7,0,77.7,,
corn,McNay,2013,SC,43.61,88.94,115.39,150.77,162.47,163.67,166.78,240,47.49,0.8698,,134.3,164.3,134.3,164.3,,
corn,McNay,2014,SC,123.21,150.42,171.87,205.06,210.93,219.39,225.5,240,121.39,0.8334,-0.0016749,240,224.9,218.9,223.6,,
corn,McNay,2015,SC,74.66,95.03,152.35,181.77,183.35,199.07,219.91,240,70.16,1.06918,-0.0019444,240,214.8,240,214.8,,
corn,McNay,2016,SC,66.75,103.23,148,209.32,217.02,217.17,225.43,240,58.29,1.55093,-0.0036146,214.5,224.7,200.7,224,,
corn,McNay,2000,CC,85.4,123.4,142.6,153.8,153.9,155.2,151.1,240,85.9,1.0643,-0.0042,126.8,153.4,114.8,152.7,,
corn,McNay,2001,CC,19.8,61.2,85.3,108.9,127.7,125,121,240,19.9,1.0935,-0.00286,191.5,124.5,173.7,123.5,,
corn,McNay,2002,CC,59.8,106.4,132.7,163.2,169.9,174.4,182.3,240,60.94,1.179,-0.0029778,198,177.6,181.2,176.8,,
corn,McNay,2003,CC,8.7,30.7,54.2,70.3,72.8,83,86.7,240,8.74,0.6515,-0.0013877,234.8,85.2,198.7,83.4,,
corn,McNay,2004,CC,42.11,49.59,90.87,182.81,218.88,223.28,255.75,240,32.29,0.99673,,240,271.5,240,271.5,,
corn,McNay,2005,CC,44.56,73.24,96.93,113.98,139.5,155.39,168.8,240,45.24,0.69322,-0.0007322,240,169.4,240,169.4,,
corn,McNay,2006,CC,56.61,91.89,118,128.32,155.23,149.97,151.37,240,57.06,0.92746,-0.0022658,204.7,152,182.6,150.9,,
corn,McNay,2007,CC,54.5,79.78,116.92,128.43,154.7,171.53,167.05,240,51.67,0.8934,-0.0016431,240,171.4,240,171.4,,
corn,McNay,2008,CC,16.47,18.44,24.24,47.04,85.24,95.38,132.34,240,-0.39,0.50222,,240,120.1,240,120.1,,
