recdate,legendtextkind,textcat,textsubcat,text,lkey,legtextkey
04/24/2001 00:00:00,Correlation notes,correlation document,NA,"United States Department of Agriculture
Natural Resources Conservation Service

Classification and Correlation of the Soils of 
Pike County, Illinois

A Subset of MLRA 115C

January 2001


John C. Doll, MLRA Soil Survey Coordinator, Champaign, Illinois and Gary Struben, Soil Data Quality Specialist (SDQS) MLRA Region 11 team, Indianapolis, Indiana, prepared this correlation.   Robert Tegeler,  MLRA team leader, Springfield, Illinois contributed provided most of the information relating to the recorrelation of the soils in Pike County.  This document is prepared as part of the update of the Soil Survey of Pike County, a subset of MLRA 115C.  The correlation conference was at the Springfield MLRA office on October 16 and 17, 2000.  This correlation is based on decisions made at that conference.  Decisions were based on documentation of field investigations, transect data, field notes, pedon descriptions, laboratory data, Soil Survey of Pike County, Illinois issued 1999, and the descriptive legend in the ""Classification and Correlation of the Soils of Pike County, Illinois,"" September, 1991.  

Headnote for detailed soil survey legend:

This update of Pike County, Illinois is an update of a subset of the Soil Survey of Major Land Resource Areas (MLRA) 115C.  Map units and their symbols and special and conventional symbols are consistent between subsets that are being updated.  Map unit symbols consist of a combination of numbers and letters.  The initial numbers represent the kind of soil.  A capital letter following those numbers indicates the class of slope.  A final number of 2 following the slope letter indicates that the soil is moderately eroded, and a number 3 indicates that it is severely eroded.  Absence of a number following the slope class indicates that the soil is slightly eroded or non-eroded.



Soil Correlation Of
Pike County, Illinois: Detailed Soil Map Legend

Field symbol|Field map unit name|Publi- cation symbol|Approved map unit name

8D3           |Hickory clay loam, 10 to 18 percent slopes, severely eroded |8D3    |Hickory clay loam, 10 to 18 percent slopes, severely eroded 
8D3           |Hickory silty clay loam, 10 to 15 percent slopes, severely eroded ||

8D2           |Hickory silt loam, 10 to 15 percent slopes, eroded |8D2    |Hickory loam, 10 to 18 percent slopes, eroded 
8D2           |Hickory loam, 10 to 18 percent slopes, eroded ||

8E2           |Hickory loam, 18 to 25 percent slopes, eroded |8E2    |Hickory loam, 18 to 25 percent slopes, eroded 
8E2           |Hickory silt loam, 15 to 30 percent slopes, eroded ||

8E            |Hickory loam, 15 to 30 percent slopes         |8F     |Hickory silt loam, 18 to 35 percent slopes    
8F            |Hickory silt loam, 18 to 35 percent slopes    ||

8G            |Hickory silt loam, 35 to 60 percent slopes    |8G     |Hickory silt loam, 35 to 60 percent slopes    
8G            |Hickory silt loam, 30 to 60 percent slopes     ||

17A           |Keomah silt loam, 0 to 2 percent slopes       |17A    |Keomah silt loam, 0 to 2 percent slopes       
17B           |Keomah silt loam, 2 to 5 percent slopes       |17B    |Keomah silt loam, 2 to 5 percent slopes       

19D3          |Sylvan silty clay loam, 10 to 15 percent slopes, severely eroded |19D3   |Sylvan silty clay loam, 10 to 18 percent slopes, severely eroded 
19D3          |Sylvan silty clay loam, 10 to 18 percent slopes, severely eroded||

30F           |Hamburg silt, 20 to 30 percent slopes         |30F    |Hamburg silt, 18 to 35 percent slopes         
30F           |Hamburg silt, 18 to 35 percent slopes         ||

30G           |Hamburg silt, 30 to 65 percent slopes         |30G    |Hamburg silt, 35 to 60 percent slopes         
30G           |Hamburg silt, 35 to 60 percent slopes         ||

37B           |Worthen silt loam, 1 to 4 percent slopes      |7037B    |Worthen silt loam, 2 to 5 percent slopes, rarely flooded     
37B           |Worthen silt loam, 2 to 5 percent slopes      ||

43A           |Ipava silt loam, 0 to 2 percent slopes        |43A    |Ipava silt loam, 0 to 2 percent slopes        

43B           |Ipava silt loam, 2 to 5 percent slopes        |43B    |Ipava silt loam, 2 to 5 percent slopes        

50            |Virden silt loam                              |50A    |Virden silty clay loam, 0 to 2 percent slopes 
50A           |Virden silty clay loam, 0 to 2 percent slopes ||

75B           |Drury silt loam, 2 to 5 percent slopes        |7075B    |Drury silt loam, 2 to 5 percent slopes, rarely flooded        

75C           |Drury silt loam, 5 to 10 percent slopes       |75C    |Drury silt loam, 5 to 10 percent slopes       

75C2          |Drury silt loam, 5 to 10 percent slopes, eroded |75C2   |Drury silt loam, 5 to 10 percent slopes, eroded 

79B           |Menfro silt loam, 2 to 5 percent slopes       |79B    |Menfro silt loam, 2 to 5 percent slopes       

79C2          |Menfro silt loam, 5 to 10 percent slopes, eroded |79C2   |Menfro silt loam, 5 to 10 percent slopes, eroded 

79C3          |Menfro silty clay loam, 5 to 10 percent slopes, severely eroded |79C3   |Menfro silty clay loam, 5 to 10 percent slopes, severely eroded 

79D2          |Menfro silt loam, 10 to 18 percent slopes, eroded |79D2   |Menfro silt loam, 10 to 18 percent slopes, eroded 
280D2         |Fayette silt loam, 10 to 15 percent slopes, eroded ||

79D3          |Menfro silty clay loam, 10 to 18 percent slopes, severely eroded|79D3   |Menfro silty clay loam, 10 to 18 percent slopes, severely eroded 
280D3         |Fayette silty clay loam, 10 to 15 percent slopes, severely eroded||


79E2          |Menfro silt loam, 18 to 25 percent slopes, eroded |79E2   |Menfro silt loam, 18 to 25 percent slopes, eroded 
280E2         |Fayette silt loam, 15 to 30 percent slopes, eroded ||

61            |Atterberry silt loam                          |90A    |Bethalto silt loam, 0 to 2 percent slopes     
90A           |Bethalto silt loam, 0 to 2 percent slopes     ||

119D2         |Elco silt loam, 10 to 18 percent slopes, eroded |119D2  |Elco silt loam, 10 to 18 percent slopes, eroded 
119D2         |Elco silt loam, 10 to 15 percent slopes, eroded ||

119D3         |Elco silty clay loam, 10 to 18 percent slopes, severely eroded|119D3  |Elco silty clay loam, 10 to 18 percent slopes, severely eroded
119D3         |Elco silty clay loam, 10 to 15 percent slopes, severely eroded||

119E2         |Elco silt loam, 15 to 25 percent slopes, eroded |119E2  |Elco silt loam, 18 to 25 percent slopes, eroded 
119E2         |Elco silt loam, 18 to 25 percent slopes, eroded ||

175F          |Lamont sandy loam, 18 to 35 percent slopes    |175F   |Lamont sandy loam, 18 to 35 percent slopes    
264E          |El Dara fine sandy loam, 15 to 30 percent slopes||

175G          |Lamont sandy loam, 35 to 60 percent slopes    |175G   |Lamont sandy loam, 35 to 60 percent slopes    

264G          |El Dara fine sandy loam, 30 to 50 percent slopes||

216B          |Stookey silt loam, 2 to 5 percent slopes      |216B   |Stookey silt loam, 2 to 5 percent slopes      

216C2         |Stookey silt loam, 5 to 10 percent slopes, eroded |216C2  |Stookey silt loam, 5 to 10 percent slopes, eroded 
274C2         |Seaton silt loam, 5 to 10 percent slopes, eroded ||

216C3         |Stookey silt loam, 5 to 10 percent slopes, severely eroded |216C3  |Stookey silt loam, 5 to 10 percent slopes, severely eroded 
274C3         |Seaton silt loam, 5 to 10 percent slopes, severely eroded ||

216D2         |Stookey silt loam, 10 to 18 percent slopes, eroded |216D2  |Stookey silt loam, 10 to 18 percent slopes, eroded 
274D2         |Seaton silt loam, 10 to 15 percent slopes, eroded ||

216D3         |Stookey silt loam, 10 to 18 percent slopes, severely eroded |216D3  |Stookey silt loam, 10 to 18 percent slopes, severely eroded 
274D3         |Seaton silt loam, 10 to 15 percent slopes, severely eroded ||

242A          |Kendall silt loam, 0 to 2 percent slopes      |242A   |Kendall silt loam, 0 to 2 percent slopes      

257A          |Clarksdale silt loam, 0 to 2 percent slopes   |257A   |Clarksdale silt loam, 0 to 2 percent slopes   

257B          |Clarksdale silt loam, 2 to 5 percent slopes   |257B   |Clarksdale silt loam, 2 to 5 percent slopes   

264D3         |El Dara sandy loam, 10 to 15 percent slopes, severely eroded|264D3  |El Dara sandy loam, 10 to 18 percent slopes, severely eroded
264D3         |El Dara sandy loam, 10 to 18 percent slopes, severely eroded||

264E          |El Dara fine sandy loam, 15 to 30 percent slopes|264E2  |El Dara sandy loam, 18 to 25 percent slopes, eroded
264E2         |El Dara fine sandy loam, 15 to 30 percent slopes, eroded||
264E2         |El Dara sandy loam, 18 to 25 percent slopes, eroded||

264G          |El Dara fine sandy loam, 35 to 60 percent slopes|264G   |El Dara fine sandy loam, 35 to 60 percent slopes 
264G          |El Dara fine sandy loam, 30 to 50 percent slopes||

267A          |Caseyville silt loam, 0 to 2 percent slopes   |267A   |Caseyville silt loam, 0 to 2 percent slopes   


267B          |Caseyville silt loam, 2 to 5 percent slopes   |267B   |Caseyville silt loam, 2 to 5 percent slopes   

278B          |Stronghurst silt loam, 2 to 5 percent slopes  ||

271D3         |Timula silt loam, 10 to 15 percent slopes, severely eroded |271D3  |Timula silt loam, 10 to 18 percent slopes, severely eroded 
271D3         |Timula silt loam, 10 to 18 percent slopes, severely eroded ||

