cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17497445,33265,AGR - Grape non-irrigated (MO),0,33265,AGR - Grape non-irrigated (MO),0,0,Not Rated,0,Not Rated,0,Not Rated,0,Not Rated,0,0,0,1561353548
17497445,33265,AGR - Grape non-irrigated (MO),1,33267,hort grape ponding,1,0,unsuited - Ponding,0,unsuited - Ponding,0,unsuited - Ponding,0,unsuited - Ponding,0,0,0,1561353549
17497445,33265,AGR - Grape non-irrigated (MO),2,33255,hort grape wet layer,1,0.074,unsuited - Wet Layer,0.074,unsuited - Wet Layer,0.074,unsuited - Wet Layer,0.074,unsuited - Wet Layer,0,0,0,1561353550
17497445,33265,AGR - Grape non-irrigated (MO),3,33253,hort grape texture,1,0.512,moderately suited - Texture,0.512,moderately suited - Texture,0.512,moderately suited - Texture,0.512,moderately suited - Texture,0,0,0,1561353551
17497445,33265,AGR - Grape non-irrigated (MO),4,33256,hort grape awc,1,0.553,moderately suited - AWC,0.553,moderately suited - AWC,0.553,moderately suited - AWC,0.553,moderately suited - AWC,0,0,0,1561353552
17497445,33265,AGR - Grape non-irrigated (MO),5,33260,hort grape EC,1,0.833,well suited - EC,0.833,well suited - EC,0.833,well suited - EC,0.833,well suited - EC,0,0,0,1561353553
17497445,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),0,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),0,1,Very Poorly Suited,1,Very Poorly Suited,1,Very Poorly Suited,1,Very Poorly Suited,0,0,0,1561353554
17497445,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),1,26055,"AWM-Depth to HWT  (24-72"") (Apparent)",1,1,~high water table  (winter-early spring),1,~high water table  (winter-early spring),1,~high water table  (winter-early spring),1,~high water table  (winter-early spring),0,0,0,1561353555
17497445,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),2,26059,AWM-Ponded > very brief (Value 1.0),1,1,~ponded (wetness),1,~ponded (wetness),1,~ponded (wetness),1,~ponded (wetness),0,0,0,1561353556
17497445,22382,FOR - Black Walnut Suitability Index (MO),0,22382,FOR - Black Walnut Suitability Index (MO),0,0,Unsuited,0,Unsuited,0,Unsuited,0,Unsuited,0,0,0,1561353557
17497445,22382,FOR - Black Walnut Suitability Index (MO),1,22314,BW: wetness,1,0,"Watertable: < 6""",0,"Watertable: < 6""",0,"Watertable: < 6""",0,"Watertable: < 6""",0,0,0,1561353558
17497445,22382,FOR - Black Walnut Suitability Index (MO),2,22309,BW: flood frequency,1,0,Flood Freq: None/Rare,0,Flood Freq: None/Rare,0,Flood Freq: None/Rare,0,Flood Freq: None/Rare,0,0,0,1561353559
17497445,22382,FOR - Black Walnut Suitability Index (MO),3,22311,BW: historic veg,1,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,0,0,1561353560
17497445,22382,FOR - Black Walnut Suitability Index (MO),4,22369,BW: Texture,1,0.6,Texture: Moderately suited,0.6,Texture: Moderately suited,0.6,Texture: Moderately suited,0.6,Texture: Moderately suited,0,0,0,1561353561
17497445,22382,FOR - Black Walnut Suitability Index (MO),5,22312,BW: landform,1,0.75,Landform: Footslope/Terrace,0.75,Landform: Footslope/Terrace,0.75,Landform: Footslope/Terrace,0.75,Landform: Footslope/Terrace,0,0,0,1561353562
17497445,52252,FOR - White Oak Suitability (MO),0,52252,FOR - White Oak Suitability (MO),0,0,Not Rated,0,Not Rated,0,Not Rated,0,Not Rated,0,0,0,1561353563
17497445,52252,FOR - White Oak Suitability (MO),1,52249,White Oak Water Table,1,0,Water Table < 60 cm,0,Water Table < 60 cm,0,Water Table < 60 cm,0,Water Table < 60 cm,0,0,0,1561353564
17497445,52252,FOR - White Oak Suitability (MO),2,52245,White Oak Flooding Duration,1,0.75,"None, ext. brief, very brief",0.75,"None, ext. brief, very brief",0.75,"None, ext. brief, very brief",0.75,"None, ext. brief, very brief",0,0,0,1561353565
17497445,52252,FOR - White Oak Suitability (MO),3,52244,White Oak AWC,1,0.761,AWC 35 cm - 15 cm,0.761,AWC 35 cm - 15 cm,0.761,AWC 35 cm - 15 cm,0.761,AWC 35 cm - 15 cm,0,0,0,1561353566
17497445,52252,FOR - White Oak Suitability (MO),4,52248,White Oak Soil Reaction,1,0.998,Ph = 5.5 to 6.5,0.998,Ph = 5.5 to 6.5,0.998,Ph = 5.5 to 6.5,0.998,Ph = 5.5 to 6.5,0,0,0,1561353567
17497445,26942,WMS - Sprinkler Irrigation RDC (IL),0,26942,WMS - Sprinkler Irrigation RDC (IL),0,1,Limitations,1,Limitations,1,Limitations,1,Limitations,0,0,0,1561353568
17497445,26942,WMS - Sprinkler Irrigation RDC (IL),1,12212,"Ponding, any (use to be copied 1027, >4hr) - MO2",1,1,Ponded,1,Ponded,1,Ponded,1,Ponded,0,0,0,1561353569
17497445,26942,WMS - Sprinkler Irrigation RDC (IL),2,12524,"Wetness - either, growing season, 60-90cm - MO2",1,1,"Saturation < 24"" depth during growing season",1,"Saturation < 24"" depth during growing season",1,"Saturation < 24"" depth during growing season",1,"Saturation < 24"" depth during growing season",0,0,0,1561353570
17497445,24388,AWM - Irrigation Disposal of Wastewater,0,24388,AWM - Irrigation Disposal of Wastewater,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1561353571
17497445,24388,AWM - Irrigation Disposal of Wastewater,1,201,Ponded > 4 hours,1,1,Ponding,1,Ponding,1,Ponding,1,Ponding,0,0,0,1561353572
17497445,24388,AWM - Irrigation Disposal of Wastewater,2,200,"Wet, Ground Water Near the Surface (60 - 120cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1561353573
