cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Winter wheat,Bu,53,59,66,NA,NA,NA,183894,13173251
Corn,Bu,154,172,195,NA,NA,NA,183894,13173252
Soybeans,Bu,49,56,63,NA,NA,NA,183894,13173253
Oats,Bu,79,89,102,NA,NA,NA,183894,13173254
Grass-legume hay,Tons,4.55,5.08,5.77,NA,NA,NA,183894,13173255
Grass-legume pasture,AUM,7.58,8.48,9.62,NA,NA,NA,183894,13173256
Corn,Bu,155,170,194,NA,NA,NA,183889,13173293
Soybeans,Bu,50,55,63,NA,NA,NA,183889,13173294
Winter wheat,Bu,60,67,79,NA,NA,NA,183889,13173295
Oats,Bu,81,89,102,NA,NA,NA,183889,13173296
Grass-legume hay,Tons,4.69,5.16,5.9,NA,NA,NA,183889,13173297
Grass-legume pasture,AUM,7.7,8.61,11.58,NA,NA,NA,183889,13173298
