texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SICL,No ,Yes,Silty clay loam,51074807,102065453
SICL,No ,Yes,Silty clay loam,51074808,102065454
SIL,No ,No ,Silt loam,51074808,102065455
CL,No ,No ,Clay loam,51074809,102065456
SIL,No ,No ,Silt loam,51074809,102065457
SICL,No ,Yes,Silty clay loam,51074809,102065458
L,No ,No ,Loam,51074809,102065459
CL,No ,No ,Clay loam,51074810,102065460
SIL,No ,No ,Silt loam,51074810,102065461
SICL,No ,Yes,Silty clay loam,51074810,102065462
L,No ,No ,Loam,51074810,102065463
SIL,No ,Yes,Silt loam,51074811,102065464
SICL,No ,Yes,Silty clay loam,51074812,102065465
SIL,No ,Yes,Silt loam,51074813,102065466
L,No ,No ,Loam,51074813,102065467
SICL,No ,No ,Silty clay loam,51074813,102065468
CL,No ,No ,Clay loam,51074813,102065469
L,No ,Yes,Loam,51074814,102065470
SIL,No ,No ,Silt loam,51074814,102065471
SICL,No ,Yes,Silty clay loam,51074815,102065472
SIC,No ,No ,Silty clay,51074815,102065473
SIL,No ,No ,Silt loam,51074816,102065474
SICL,No ,Yes,Silty clay loam,51074816,102065475
SICL,No ,Yes,Silty clay loam,51074742,102065331
SICL,No ,Yes,Silty clay loam,51074743,102065332
SIC,No ,No ,Silty clay,51074743,102065333
SICL,No ,Yes,Silty clay loam,51074744,102065334
SIL,No ,No ,Silt loam,51074744,102065335
SICL,No ,No ,Silty clay loam,51074745,102065336
SIC,No ,Yes,Silty clay,51074745,102065337
SICL,No ,Yes,Silty clay loam,51074746,102065338
SICL,No ,Yes,Silty clay loam,51074747,102065339
SIL,No ,No ,Silt loam,51074747,102065340
CL,No ,No ,Clay loam,51074748,102065341
SIL,No ,No ,Silt loam,51074748,102065342
SICL,No ,Yes,Silty clay loam,51074748,102065343
L,No ,No ,Loam,51074748,102065344
CL,No ,No ,Clay loam,51074749,102065345
SIL,No ,No ,Silt loam,51074749,102065346
SICL,No ,Yes,Silty clay loam,51074749,102065347
L,No ,No ,Loam,51074749,102065348
SICL,No ,Yes,Silty clay loam,51074750,102065349
SICL,No ,Yes,Silty clay loam,51074751,102065350
CL,No ,No ,Clay loam,51074752,102065351
SIL,No ,No ,Silt loam,51074752,102065352
SICL,No ,Yes,Silty clay loam,51074752,102065353
L,No ,No ,Loam,51074752,102065354
SIL,No ,Yes,Silt loam,51074753,102065355
L,No ,No ,Loam,51074753,102065356
